,order,Data,Time,Home,Score,Away,Venue,Season,Home Score,Away Score,Date
916,916,Mon 27 Dec,15:00,London Wasps,33-20,Gloucester,Adams Park,2004-2005,33,20,Mon 27 Dec 2004
917,917,Mon 27 Dec,15:00,Sale Sharks,19-10,Bath Rugby,Edgeley Park,2004-2005,19,10,Mon 27 Dec 2004
918,918,Sat 1 Jan,14:00,Worcester Warriors,16-6,London Irish,Sixways,2004-2005,16,6,Sat 1 Jan 2005
919,919,Sat 1 Jan,14:15,Bath Rugby,6-13,Saracens,Recreation Ground,2004-2005,6,13,Sat 1 Jan 2005
920,920,Sat 1 Jan,15:00,Northampton Saints,18-9,Leeds Tykes,Franklin's Gardens,2004-2005,18,9,Sat 1 Jan 2005
921,921,Sun 2 Jan,14:30,Newcastle Falcons,30-29,Sale Sharks,Kingston Park,2004-2005,30,29,Sun 2 Jan 2005
922,922,Sun 2 Jan,15:00,NEC Harlequins,15-27,London Wasps,Twickenham Stoop,2004-2005,15,27,Sun 2 Jan 2005
923,923,Sun 2 Jan,17:00,Gloucester,13-28,Leicester Tigers,Kingsholm,2004-2005,13,28,Sun 2 Jan 2005
924,924,Fri 28 Jan,19:45,Saracens,32-13,Newcastle Falcons,Vicarage Road,2004-2005,32,13,Fri 28 Jan 2005
925,925,Fri 28 Jan,20:00,Leeds Tykes,16-5,London Irish,Headingley Carnegie,2004-2005,16,5,Fri 28 Jan 2005
926,926,Sat 29 Jan,14:45,Sale Sharks,37-24,Northampton Saints,Edgeley Park,2004-2005,37,24,Sat 29 Jan 2005
927,927,Sat 29 Jan,15:00,Gloucester,28-16,Worcester Warriors,Kingsholm,2004-2005,28,16,Sat 29 Jan 2005
928,928,Sat 29 Jan,15:00,Leicester Tigers,32-17,NEC Harlequins,Welford Road,2004-2005,32,17,Sat 29 Jan 2005
929,929,Sat 29 Jan,17:35,London Wasps,9-12,Bath Rugby,Adams Park,2004-2005,9,12,Sat 29 Jan 2005
930,930,Fri 4 Feb,20:00,Worcester Warriors,22-15,Leeds Tykes,Sixways,2004-2005,22,15,Fri 4 Feb 2005
931,931,Sat 5 Feb,14:00,NEC Harlequins,38-9,Gloucester,Twickenham Stoop,2004-2005,38,9,Sat 5 Feb 2005
932,932,Sat 5 Feb,15:00,Northampton Saints,20-21,Saracens,Franklin's Gardens,2004-2005,20,21,Sat 5 Feb 2005
933,933,Sat 5 Feb,19:45,Bath Rugby,6-6,Leicester Tigers,Recreation Ground,2004-2005,6,6,Sat 5 Feb 2005
934,934,Sun 6 Feb,14:30,Newcastle Falcons,29-28,London Wasps,Kingston Park,2004-2005,29,28,Sun 6 Feb 2005
935,935,Sun 6 Feb,15:00,London Irish,6-9,Sale Sharks,Madejski Stadium,2004-2005,6,9,Sun 6 Feb 2005
936,936,Fri 18 Feb,19:45,Sale Sharks,19-10,Leeds Tykes,Edgeley Park,2004-2005,19,10,Fri 18 Feb 2005
937,937,Sat 19 Feb,14:00,NEC Harlequins,9-15,Worcester Warriors,Twickenham Stoop,2004-2005,9,15,Sat 19 Feb 2005
938,938,Sat 19 Feb,15:00,Gloucester,17-16,Bath Rugby,Kingsholm,2004-2005,17,16,Sat 19 Feb 2005
939,939,Sat 19 Feb,15:00,Leicester Tigers,83-10,Newcastle Falcons,Welford Road,2004-2005,83,10,Sat 19 Feb 2005
940,940,Sun 20 Feb,15:00,London Wasps,39-9,Northampton Saints,Adams Park,2004-2005,39,9,Sun 20 Feb 2005
941,941,Sun 20 Feb,15:00,Saracens,12-30,London Irish,Vicarage Road,2004-2005,12,30,Sun 20 Feb 2005
942,942,Fri 25 Feb,20:00,Leeds Tykes,5-14,Saracens,Headingley Carnegie,2004-2005,5,14,Fri 25 Feb 2005
943,943,Fri 25 Feb,20:00,Worcester Warriors,23-10,Sale Sharks,Sixways,2004-2005,23,10,Fri 25 Feb 2005
944,944,Sat 26 Feb,14:15,Bath Rugby,15-17,NEC Harlequins,Recreation Ground,2004-2005,15,17,Sat 26 Feb 2005
945,945,Sat 26 Feb,15:00,Northampton Saints,26-11,Leicester Tigers,Franklin's Gardens,2004-2005,26,11,Sat 26 Feb 2005
946,946,Sun 27 Feb,12:00,London Irish,19-33,London Wasps,Madejski Stadium,2004-2005,19,33,Sun 27 Feb 2005
947,947,Sun 27 Feb,13:15,Newcastle Falcons,27-27,Gloucester,Kingston Park,2004-2005,27,27,Sun 27 Feb 2005
948,948,Fri 11 Mar,19:30,Leicester Tigers,15-6,London Irish,Welford Road,2004-2005,15,6,Fri 11 Mar 2005
949,949,Sat 12 Mar,14:00,Bath Rugby,18-10,Worcester Warriors,Recreation Ground,2004-2005,18,10,Sat 12 Mar 2005
950,950,Sat 12 Mar,14:00,Gloucester,18-26,Northampton Saints,Kingsholm,2004-2005,18,26,Sat 12 Mar 2005
951,951,Sun 13 Mar,14:00,NEC Harlequins,39-23,Newcastle Falcons,Twickenham Stoop,2004-2005,39,23,Sun 13 Mar 2005
952,952,Sun 13 Mar,15:00,London Wasps,30-15,Leeds Tykes,Adams Park,2004-2005,30,15,Sun 13 Mar 2005
953,953,Sun 13 Mar,15:00,Saracens,32-19,Sale Sharks,Vicarage Road,2004-2005,32,19,Sun 13 Mar 2005
954,954,Fri 25 Mar,19:45,Sale Sharks,25-27,London Wasps,Edgeley Park,2004-2005,25,27,Fri 25 Mar 2005
955,955,Sat 26 Mar,14:00,Worcester Warriors,18-19,Saracens,Sixways,2004-2005,18,19,Sat 26 Mar 2005
956,956,Sat 26 Mar,15:00,Northampton Saints,22-20,NEC Harlequins,Franklin's Gardens,2004-2005,22,20,Sat 26 Mar 2005
957,957,Sat 26 Mar,17:00,London Irish,12-13,Gloucester,Madejski Stadium,2004-2005,12,13,Sat 26 Mar 2005
958,958,Sun 27 Mar,14:30,Leeds Tykes,23-22,Leicester Tigers,Headingley Carnegie,2004-2005,23,22,Sun 27 Mar 2005
959,959,Sun 27 Mar,15:00,Newcastle Falcons,5-9,Bath Rugby,Kingston Park,2004-2005,5,9,Sun 27 Mar 2005
960,960,Sat 9 Apr,15:00,Bath Rugby,30-12,Northampton Saints,Recreation Ground,2004-2005,30,12,Sat 9 Apr 2005
961,961,Sat 9 Apr,15:00,Gloucester,15-33,Leeds Tykes,Kingsholm,2004-2005,15,33,Sat 9 Apr 2005
962,962,Sat 9 Apr,15:00,Leicester Tigers,45-15,Sale Sharks,Welford Road,2004-2005,45,15,Sat 9 Apr 2005
963,963,Sat 9 Apr,15:00,NEC Harlequins,20-25,London Irish,Twickenham Stoop,2004-2005,20,25,Sat 9 Apr 2005
964,964,Sun 10 Apr,15:00,London Wasps,45-24,Saracens,Adams Park,2004-2005,45,24,Sun 10 Apr 2005
965,965,Sun 10 Apr,15:00,Newcastle Falcons,16-21,Worcester Warriors,Kingston Park,2004-2005,16,21,Sun 10 Apr 2005
966,966,Fri 15 Apr,19:45,Northampton Saints,23-22,Newcastle Falcons,Franklin's Gardens,2004-2005,23,22,Fri 15 Apr 2005
967,967,Fri 15 Apr,19:45,Sale Sharks,35-17,Gloucester,Edgeley Park,2004-2005,35,17,Fri 15 Apr 2005
968,968,Sun 17 Apr,15:00,London Wasps,32-17,Worcester Warriors,Adams Park,2004-2005,32,17,Sun 17 Apr 2005
969,969,Sun 17 Apr,16:00,Saracens,19-17,Leicester Tigers,Vicarage Road,2004-2005,19,17,Sun 17 Apr 2005
970,970,Sun 24 Apr,15:00,London Irish,19-21,Bath Rugby,Madejski Stadium,2004-2005,19,21,Sun 24 Apr 2005
971,971,Tue 26 Apr,19:45,Leeds Tykes,21-10,NEC Harlequins,Headingley Carnegie,2004-2005,21,10,Tue 26 Apr 2005
972,972,Sat 30 Apr,15:00,Bath Rugby,6-10,Leeds Tykes,Recreation Ground,2004-2005,6,10,Sat 30 Apr 2005
973,973,Sat 30 Apr,15:00,Gloucester,13-14,Saracens,Kingsholm,2004-2005,13,14,Sat 30 Apr 2005
974,974,Sat 30 Apr,15:00,Leicester Tigers,45-10,London Wasps,Welford Road,2004-2005,45,10,Sat 30 Apr 2005
975,975,Sat 30 Apr,15:00,NEC Harlequins,22-23,Sale Sharks,Twickenham Stoop,2004-2005,22,23,Sat 30 Apr 2005
976,976,Sat 30 Apr,15:00,Newcastle Falcons,23-16,London Irish,Kingston Park,2004-2005,23,16,Sat 30 Apr 2005
977,977,Sat 30 Apr,15:00,Worcester Warriors,21-19,Northampton Saints,Sixways,2004-2005,21,19,Sat 30 Apr 2005
978,978,Sat 7 May,15:15,London Wasps,43-22,Sale Sharks,Adams Park,2004-2005,43,22,Sat 7 May 2005
979,979,Sat 14 May,15:30,Leicester Tigers,14-39,London Wasps,Twickenham Stadium,2004-2005,14,39,Sat 14 May 2005
980,980,Fri 2 Sep,20:00,Sale Sharks,26-25,Newcastle Falcons,Edgeley Park,2005-2006,26,25,Fri 2 Sep 2005
981,981,Sat 3 Sep,14:00,London Wasps,23-11,Saracens,Twickenham Stadium,2005-2006,23,11,Sat 3 Sep 2005
982,982,Sat 3 Sep,15:00,Leicester Tigers,32-0,Northampton Saints,Welford Road,2005-2006,32,0,Sat 3 Sep 2005
983,983,Sat 3 Sep,16:20,Leeds Tykes,11-27,London Irish,Twickenham Stadium,2005-2006,11,27,Sat 3 Sep 2005
984,984,Sun 4 Sep,13:00,Bristol Rugby,19-16,Bath Rugby,Memorial Stadium,2005-2006,19,16,Sun 4 Sep 2005
985,985,Sun 4 Sep,15:00,Worcester Warriors,15-15,Gloucester Rugby,Sixways,2005-2006,15,15,Sun 4 Sep 2005
986,986,Sat 10 Sep,14:15,Bath Rugby,9-17,Northampton Saints,Recreation Ground,2005-2006,9,17,Sat 10 Sep 2005
987,987,Sat 10 Sep,14:45,London Wasps,29-29,Leicester Tigers,Adams Park,2005-2006,29,29,Sat 10 Sep 2005
988,988,Sat 10 Sep,15:00,Gloucester Rugby,21-18,Sale Sharks,Kingsholm,2005-2006,21,18,Sat 10 Sep 2005
989,989,Sun 11 Sep,14:30,Newcastle Falcons,14-16,Bristol Rugby,Kingston Park,2005-2006,14,16,Sun 11 Sep 2005
990,990,Sun 11 Sep,15:00,London Irish,15-20,Worcester Warriors,Madejski Stadium,2005-2006,15,20,Sun 11 Sep 2005
991,991,Sun 11 Sep,15:00,Saracens,34-16,Leeds Tykes,Vicarage Road,2005-2006,34,16,Sun 11 Sep 2005
992,992,Fri 16 Sep,20:00,Sale Sharks,29-3,London Irish,Edgeley Park,2005-2006,29,3,Fri 16 Sep 2005
993,993,Sat 17 Sep,14:00,Worcester Warriors,25-24,Saracens,Sixways,2005-2006,25,24,Sat 17 Sep 2005
994,994,Sat 17 Sep,14:45,Northampton Saints,9-16,Newcastle Falcons,Franklin's Gardens,2005-2006,9,16,Sat 17 Sep 2005
995,995,Sat 17 Sep,15:00,Leicester Tigers,40-26,Bath Rugby,Welford Road,2005-2006,40,26,Sat 17 Sep 2005
996,996,Sun 18 Sep,14:30,Leeds Tykes,23-47,London Wasps,Headingley Carnegie,2005-2006,23,47,Sun 18 Sep 2005
997,997,Sun 18 Sep,15:00,Bristol Rugby,9-41,Gloucester Rugby,Memorial Stadium,2005-2006,9,41,Sun 18 Sep 2005
998,998,Sat 24 Sep,14:45,Gloucester Rugby,28-24,Northampton Saints,Kingsholm,2005-2006,28,24,Sat 24 Sep 2005
999,999,Sat 24 Sep,15:00,London Irish,24-22,Bristol Rugby,Madejski Stadium,2005-2006,24,22,Sat 24 Sep 2005
1000,1000,Sun 25 Sep,14:30,Leeds Tykes,20-28,Leicester Tigers,Headingley Carnegie,2005-2006,20,28,Sun 25 Sep 2005
1001,1001,Sun 25 Sep,14:30,Newcastle Falcons,16-27,Bath Rugby,Kingston Park,2005-2006,16,27,Sun 25 Sep 2005
1002,1002,Sun 25 Sep,15:00,London Wasps,34-20,Worcester Warriors,Adams Park,2005-2006,34,20,Sun 25 Sep 2005
1003,1003,Sun 25 Sep,15:00,Saracens,32-40,Sale Sharks,Vicarage Road,2005-2006,32,40,Sun 25 Sep 2005
1004,1004,Fri 14 Oct,19:45,Leicester Tigers,16-16,Newcastle Falcons,Welford Road,2005-2006,16,16,Fri 14 Oct 2005
1005,1005,Fri 14 Oct,20:00,Sale Sharks,18-10,London Wasps,Edgeley Park,2005-2006,18,10,Fri 14 Oct 2005
1006,1006,Fri 14 Oct,20:00,Worcester Warriors,22-15,Leeds Tykes,Sixways,2005-2006,22,15,Fri 14 Oct 2005
1007,1007,Sat 15 Oct,14:45,Bath Rugby,18-16,Gloucester Rugby,Recreation Ground,2005-2006,18,16,Sat 15 Oct 2005
1008,1008,Sat 15 Oct,15:00,Northampton Saints,25-23,London Irish,Franklin's Gardens,2005-2006,25,23,Sat 15 Oct 2005
1009,1009,Sun 16 Oct,15:00,Bristol Rugby,11-23,Saracens,Memorial Stadium,2005-2006,11,23,Sun 16 Oct 2005
1010,1010,Fri 4 Nov,20:00,London Wasps,21-16,Bristol Rugby,Adams Park,2005-2006,21,16,Fri 4 Nov 2005
1011,1011,Fri 4 Nov,20:00,Worcester Warriors,15-11,Leicester Tigers,Sixways,2005-2006,15,11,Fri 4 Nov 2005
1012,1012,Sat 5 Nov,14:45,Leeds Tykes,11-17,Sale Sharks,Headingley Carnegie,2005-2006,11,17,Sat 5 Nov 2005
1013,1013,Sat 5 Nov,15:00,Gloucester Rugby,27-20,Newcastle Falcons,Kingsholm,2005-2006,27,20,Sat 5 Nov 2005
1014,1014,Sat 5 Nov,15:00,London Irish,36-13,Bath Rugby,Madejski Stadium,2005-2006,36,13,Sat 5 Nov 2005
1015,1015,Sat 5 Nov,15:00,Saracens,28-22,Northampton Saints,Vicarage Road,2005-2006,28,22,Sat 5 Nov 2005
1016,1016,Fri 11 Nov,19:45,Newcastle Falcons,20-23,London Irish,Kingston Park,2005-2006,20,23,Fri 11 Nov 2005
1017,1017,Fri 11 Nov,20:00,Sale Sharks,24-13,Worcester Warriors,Edgeley Park,2005-2006,24,13,Fri 11 Nov 2005
1018,1018,Sat 12 Nov,12:30,Northampton Saints,13-21,London Wasps,Franklin's Gardens,2005-2006,13,21,Sat 12 Nov 2005
1019,1019,Sat 12 Nov,15:00,Leicester Tigers,25-20,Gloucester Rugby,Welford Road,2005-2006,25,20,Sat 12 Nov 2005
1020,1020,Sun 13 Nov,14:15,Bath Rugby,12-12,Saracens,Recreation Ground,2005-2006,12,12,Sun 13 Nov 2005
1021,1021,Sun 13 Nov,15:00,Bristol Rugby,32-6,Leeds Tykes,Memorial Stadium,2005-2006,32,6,Sun 13 Nov 2005
1022,1022,Fri 18 Nov,20:00,Sale Sharks,24-16,Leicester Tigers,Edgeley Park,2005-2006,24,16,Fri 18 Nov 2005
1023,1023,Fri 18 Nov,20:00,Worcester Warriors,24-15,Bristol Rugby,Sixways,2005-2006,24,15,Fri 18 Nov 2005
1024,1024,Sun 20 Nov,14:30,Leeds Tykes,28-25,Northampton Saints,Headingley Carnegie,2005-2006,28,25,Sun 20 Nov 2005
1025,1025,Sun 20 Nov,15:00,London Irish,25-10,Gloucester Rugby,Madejski Stadium,2005-2006,25,10,Sun 20 Nov 2005
1026,1026,Sun 20 Nov,15:00,London Wasps,28-20,Bath Rugby,Adams Park,2005-2006,28,20,Sun 20 Nov 2005
1027,1027,Sun 20 Nov,15:00,Saracens,27-18,Newcastle Falcons,Vicarage Road,2005-2006,27,18,Sun 20 Nov 2005
1028,1028,Fri 25 Nov,19:45,Bath Rugby,12-16,Leeds Tykes,Recreation Ground,2005-2006,12,16,Fri 25 Nov 2005
1029,1029,Fri 25 Nov,19:45,Leicester Tigers,35-3,London Irish,Welford Road,2005-2006,35,3,Fri 25 Nov 2005
1030,1030,Sat 26 Nov,12:30,Gloucester Rugby,19-8,Saracens,Kingsholm,2005-2006,19,8,Sat 26 Nov 2005
1031,1031,Sat 26 Nov,12:30,Northampton Saints,21-22,Worcester Warriors,Franklin's Gardens,2005-2006,21,22,Sat 26 Nov 2005
1032,1032,Sun 27 Nov,14:30,Newcastle Falcons,17-15,London Wasps,Kingston Park,2005-2006,17,15,Sun 27 Nov 2005
1033,1033,Sun 27 Nov,15:00,Bristol Rugby,22-14,Sale Sharks,Memorial Stadium,2005-2006,22,14,Sun 27 Nov 2005
1034,1034,Mon 26 Dec,14:00,Worcester Warriors,18-36,Bath Rugby,Sixways,2005-2006,18,36,Mon 26 Dec 2005
1035,1035,Mon 26 Dec,15:00,London Wasps,32-25,Gloucester Rugby,Adams Park,2005-2006,32,25,Mon 26 Dec 2005
1036,1036,Mon 26 Dec,15:00,Sale Sharks,34-14,Northampton Saints,Edgeley Park,2005-2006,34,14,Mon 26 Dec 2005
1037,1037,Tue 27 Dec,14:30,Leeds Tykes,10-13,Newcastle Falcons,Headingley Carnegie,2005-2006,10,13,Tue 27 Dec 2005
1038,1038,Tue 27 Dec,15:00,Bristol Rugby,15-3,Leicester Tigers,Memorial Stadium,2005-2006,15,3,Tue 27 Dec 2005
1039,1039,Tue 27 Dec,15:00,Saracens,19-20,London Irish,Vicarage Road,2005-2006,19,20,Tue 27 Dec 2005
1040,1040,Sat 31 Dec,14:45,London Irish,19-35,London Wasps,Madejski Stadium,2005-2006,19,35,Sat 31 Dec 2005
1041,1041,Sat 31 Dec,15:00,Gloucester Rugby,31-7,Leeds Tykes,Kingsholm,2005-2006,31,7,Sat 31 Dec 2005
1042,1042,Sun 1 Jan,14:30,Newcastle Falcons,21-15,Worcester Warriors,Kingston Park,2005-2006,21,15,Sun 1 Jan 2006
1043,1043,Sun 1 Jan,15:00,Northampton Saints,29-22,Bristol Rugby,Franklin's Gardens,2005-2006,29,22,Sun 1 Jan 2006
1044,1044,Mon 2 Jan,14:15,Bath Rugby,9-21,Sale Sharks,Recreation Ground,2005-2006,9,21,Mon 2 Jan 2006
1045,1045,Mon 2 Jan,15:00,Leicester Tigers,34-27,Saracens,Welford Road,2005-2006,34,27,Mon 2 Jan 2006
1046,1046,Sat 7 Jan,14:45,Worcester Warriors,11-15,Northampton Saints,Sixways,2005-2006,11,15,Sat 7 Jan 2006
1047,1047,Sun 8 Jan,13:30,Saracens,9-19,Gloucester Rugby,Vicarage Road,2005-2006,9,19,Sun 8 Jan 2006
1048,1048,Sun 8 Jan,14:30,Leeds Tykes,25-14,Bath Rugby,Headingley Carnegie,2005-2006,25,14,Sun 8 Jan 2006
1049,1049,Sun 8 Jan,15:00,London Irish,25-28,Leicester Tigers,Madejski Stadium,2005-2006,25,28,Sun 8 Jan 2006
1050,1050,Sun 8 Jan,15:00,London Wasps,21-6,Newcastle Falcons,Adams Park,2005-2006,21,6,Sun 8 Jan 2006
1051,1051,Sun 8 Jan,15:00,Sale Sharks,31-29,Bristol Rugby,Edgeley Park,2005-2006,31,29,Sun 8 Jan 2006
1052,1052,Fri 27 Jan,19:45,Bristol Rugby,23-26,Worcester Warriors,Memorial Stadium,2005-2006,23,26,Fri 27 Jan 2006
1053,1053,Sat 28 Jan,14:00,Bath Rugby,28-16,London Wasps,Recreation Ground,2005-2006,28,16,Sat 28 Jan 2006
1054,1054,Sat 28 Jan,15:00,Gloucester Rugby,9-13,London Irish,Kingsholm,2005-2006,9,13,Sat 28 Jan 2006
1055,1055,Sat 28 Jan,15:00,Leicester Tigers,27-27,Sale Sharks,Welford Road,2005-2006,27,27,Sat 28 Jan 2006
1056,1056,Sat 28 Jan,15:00,Newcastle Falcons,21-16,Saracens,Kingston Park,2005-2006,21,16,Sat 28 Jan 2006
1057,1057,Sat 28 Jan,15:00,Northampton Saints,21-18,Leeds Tykes,Franklin's Gardens,2005-2006,21,18,Sat 28 Jan 2006
1058,1058,Fri 10 Feb,19:45,Gloucester Rugby,34-16,Leicester Tigers,Kingsholm,2005-2006,34,16,Fri 10 Feb 2006
1059,1059,Fri 10 Feb,20:00,Leeds Tykes,26-16,Bristol Rugby,Headingley Carnegie,2005-2006,26,16,Fri 10 Feb 2006
1060,1060,Sat 11 Feb,14:00,Worcester Warriors,33-48,Sale Sharks,Sixways,2005-2006,33,48,Sat 11 Feb 2006
1061,1061,Sun 12 Feb,15:00,London Irish,6-9,Newcastle Falcons,Madejski Stadium,2005-2006,6,9,Sun 12 Feb 2006
1062,1062,Sun 12 Feb,15:00,London Wasps,19-19,Northampton Saints,Adams Park,2005-2006,19,19,Sun 12 Feb 2006
1063,1063,Sun 12 Feb,15:00,Saracens,29-34,Bath Rugby,Vicarage Road,2005-2006,29,34,Sun 12 Feb 2006
1064,1064,Fri 17 Feb,19:45,Leicester Tigers,28-22,Worcester Warriors,Welford Road,2005-2006,28,22,Fri 17 Feb 2006
1065,1065,Fri 17 Feb,20:00,Sale Sharks,35-24,Leeds Tykes,Edgeley Park,2005-2006,35,24,Fri 17 Feb 2006
1066,1066,Sat 18 Feb,14:15,Bath Rugby,28-33,London Irish,Recreation Ground,2005-2006,28,33,Sat 18 Feb 2006
1067,1067,Sat 18 Feb,14:45,Northampton Saints,58-17,Saracens,Franklin's Gardens,2005-2006,58,17,Sat 18 Feb 2006
1068,1068,Sun 19 Feb,13:30,Bristol Rugby,9-9,London Wasps,Memorial Stadium,2005-2006,9,9,Sun 19 Feb 2006
1069,1069,Sun 19 Feb,14:30,Newcastle Falcons,9-13,Gloucester Rugby,Kingston Park,2005-2006,9,13,Sun 19 Feb 2006
1070,1070,Fri 24 Feb,19:45,Newcastle Falcons,24-16,Leicester Tigers,Kingston Park,2005-2006,24,16,Fri 24 Feb 2006
1071,1071,Fri 24 Feb,20:00,Leeds Tykes,21-15,Worcester Warriors,Headingley Carnegie,2005-2006,21,15,Fri 24 Feb 2006
1072,1072,Sat 25 Feb,12:00,Gloucester Rugby,15-18,Bath Rugby,Kingsholm,2005-2006,15,18,Sat 25 Feb 2006
1073,1073,Sun 26 Feb,13:00,London Irish,30-3,Northampton Saints,Madejski Stadium,2005-2006,30,3,Sun 26 Feb 2006
1074,1074,Sun 26 Feb,15:00,London Wasps,26-16,Sale Sharks,Adams Park,2005-2006,26,16,Sun 26 Feb 2006
1075,1075,Sun 26 Feb,15:00,Saracens,13-19,Bristol Rugby,Vicarage Road,2005-2006,13,19,Sun 26 Feb 2006
1076,1076,Fri 10 Mar,19:45,Leicester Tigers,26-23,Leeds Tykes,Welford Road,2005-2006,26,23,Fri 10 Mar 2006
1077,1077,Fri 10 Mar,20:00,Sale Sharks,9-15,Saracens,Edgeley Park,2005-2006,9,15,Fri 10 Mar 2006
1078,1078,Fri 10 Mar,20:00,Worcester Warriors,37-8,London Wasps,Sixways,2005-2006,37,8,Fri 10 Mar 2006
1079,1079,Sat 11 Mar,14:15,Bath Rugby,20-18,Newcastle Falcons,Recreation Ground,2005-2006,20,18,Sat 11 Mar 2006
1080,1080,Sat 11 Mar,15:00,Northampton Saints,21-20,Gloucester Rugby,Franklin's Gardens,2005-2006,21,20,Sat 11 Mar 2006
1081,1081,Sun 12 Mar,13:00,Bristol Rugby,20-21,London Irish,Memorial Stadium,2005-2006,20,21,Sun 12 Mar 2006
1082,1082,Sat 25 Mar,14:15,Bath Rugby,12-19,Leicester Tigers,Recreation Ground,2005-2006,12,19,Sat 25 Mar 2006
1083,1083,Sat 25 Mar,14:45,London Irish,21-29,Sale Sharks,Madejski Stadium,2005-2006,21,29,Sat 25 Mar 2006
1084,1084,Sat 25 Mar,15:00,Gloucester Rugby,15-20,Bristol Rugby,Kingsholm,2005-2006,15,20,Sat 25 Mar 2006
1085,1085,Sun 26 Mar,14:30,Newcastle Falcons,13-32,Northampton Saints,Kingston Park,2005-2006,13,32,Sun 26 Mar 2006
1086,1086,Sun 26 Mar,15:00,London Wasps,28-0,Leeds Tykes,Adams Park,2005-2006,28,0,Sun 26 Mar 2006
1087,1087,Sun 26 Mar,15:00,Saracens,29-15,Worcester Warriors,Vicarage Road,2005-2006,29,15,Sun 26 Mar 2006
1088,1088,Fri 7 Apr,20:00,Leeds Tykes,13-17,Saracens,Headingley Carnegie,2005-2006,13,17,Fri 7 Apr 2006
1089,1089,Sat 8 Apr,13:45,Sale Sharks,18-15,Gloucester Rugby,Edgeley Park,2005-2006,18,15,Sat 8 Apr 2006
1090,1090,Sat 8 Apr,14:00,Worcester Warriors,10-12,London Irish,Sixways,2005-2006,10,12,Sat 8 Apr 2006
1091,1091,Sat 8 Apr,15:00,Northampton Saints,24-21,Bath Rugby,Franklin's Gardens,2005-2006,24,21,Sat 8 Apr 2006
1092,1092,Sun 9 Apr,15:00,Bristol Rugby,23-7,Newcastle Falcons,Memorial Stadium,2005-2006,23,7,Sun 9 Apr 2006
1093,1093,Fri 14 Apr,19:45,Northampton Saints,19-24,Leicester Tigers,Franklin's Gardens,2005-2006,19,24,Fri 14 Apr 2006
1094,1094,Sat 15 Apr,15:00,Gloucester Rugby,27-16,Worcester Warriors,Kingsholm,2005-2006,27,16,Sat 15 Apr 2006
1095,1095,Sat 15 Apr,15:00,London Irish,28-24,Leeds Tykes,Madejski Stadium,2005-2006,28,24,Sat 15 Apr 2006
1096,1096,Sat 15 Apr,17:15,Bath Rugby,31-16,Bristol Rugby,Recreation Ground,2005-2006,31,16,Sat 15 Apr 2006
1097,1097,Sun 16 Apr,14:30,Newcastle Falcons,32-21,Sale Sharks,Kingston Park,2005-2006,32,21,Sun 16 Apr 2006
1098,1098,Sun 16 Apr,15:00,Saracens,13-12,London Wasps,Vicarage Road,2005-2006,13,12,Sun 16 Apr 2006
1099,1099,Sat 22 Apr,14:30,Leicester Tigers,20-19,London Wasps,Welford Road,2005-2006,20,19,Sat 22 Apr 2006
1100,1100,Fri 28 Apr,19:45,Saracens,12-13,Leicester Tigers,Vicarage Road,2005-2006,12,13,Fri 28 Apr 2006
1101,1101,Fri 28 Apr,20:00,Sale Sharks,38-12,Bath Rugby,Edgeley Park,2005-2006,38,12,Fri 28 Apr 2006
1102,1102,Sat 29 Apr,14:00,Worcester Warriors,35-27,Newcastle Falcons,Sixways,2005-2006,35,27,Sat 29 Apr 2006
1103,1103,Sun 30 Apr,14:30,Leeds Tykes,7-31,Gloucester Rugby,Headingley Carnegie,2005-2006,7,31,Sun 30 Apr 2006
1104,1104,Sun 30 Apr,15:00,Bristol Rugby,16-19,Northampton Saints,Memorial Stadium,2005-2006,16,19,Sun 30 Apr 2006
1105,1105,Sun 30 Apr,18:00,London Wasps,37-56,London Irish,Adams Park,2005-2006,37,56,Sun 30 Apr 2006
1106,1106,Sat 6 May,15:00,Bath Rugby,25-22,Worcester Warriors,Recreation Ground,2005-2006,25,22,Sat 6 May 2006
1107,1107,Sat 6 May,15:00,Gloucester Rugby,32-37,London Wasps,Kingsholm,2005-2006,32,37,Sat 6 May 2006
1108,1108,Sat 6 May,15:00,Leicester Tigers,32-3,Bristol Rugby,Welford Road,2005-2006,32,3,Sat 6 May 2006
1109,1109,Sat 6 May,15:00,London Irish,30-18,Saracens,Madejski Stadium,2005-2006,30,18,Sat 6 May 2006
1110,1110,Sat 6 May,15:00,Newcastle Falcons,54-19,Leeds Tykes,Kingston Park,2005-2006,54,19,Sat 6 May 2006
1111,1111,Sat 6 May,15:00,Northampton Saints,34-36,Sale Sharks,Franklin's Gardens,2005-2006,34,36,Sat 6 May 2006
1112,1112,Sun 14 May,13:30,Sale Sharks,22-12,London Wasps,Edgeley Park,2005-2006,22,12,Sun 14 May 2006
1113,1113,Sun 14 May,16:00,Leicester Tigers,40-8,London Irish,Welford Road,2005-2006,40,8,Sun 14 May 2006
1114,1114,Sat 27 May,15:00,Sale Sharks,45-20,Leicester Tigers,Twickenham Stadium,2005-2006,45,20,Sat 27 May 2006
1115,1115,Sat 2 Sep,14:00,London Irish,20-19,NEC Harlequins,Twickenham Stadium,2006-2007,20,19,Sat 2 Sep 2006
